"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"WINNEPENNINCKX_MELANOMA_METASTASIS_UP",1.92572572195964e-08,9.85586424498943e-05,0.73376198835648,0.891718178622671,1.96091551644896,162,"CDON,NANS,BUB1,PCLAF,MRPS5,CLASP1,MAP4K4,CCNB2,CDC45,DLGAP5,GJC1,PARPBP,PAICS,RACGAP1,PRC1,RBMX,NCAPH,TARS1,KIF18B,IWS1,MCM6,KIF2C,CNN3,CDKN3,KIF11,CCNB1,OLA1,KNSTRN,SGO2,CHEK1,DDX18,BIRC5,FAM216A,AURKA,CENPA,CDCA8,CKS2,OGG1,TCOF1,RANBP1,KIRREL1,IMMT,CTNNAL1,EEPD1,TOP2A,ASPM,MRPL32,CKS1B,RAD54L,DSCC1,HSPD1,CENPF,SHCBP1,CCT7,NEIL3,H2AZ2,FERMT2,GLRX2,PHF14,CENPN,SRP19,CDC6,MCM4,PLEKHG2,SPC25,CDCA5,PTTG1,DHFR,CEP55,NASP,MRPS10,NCAPG,SMC2,NCBP1,UHRF1,NDC80,SPAG5,CACYBP,PSMC3IP,NEK2,CDK1,CHORDC1,SMARCA5,MELK,MRPS16,CCT5,SUPT7L"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",3.17607023282307e-07,0.00051437403498708,0.674962860011025,0.803050872025655,1.72174601824616,282,"POLR2K,PLRG1,THOC5,CSTF3,RANBP2,SNRPD3,UPF3B,PDCD7,RBMX,HNRNPF,POLDIP3,RBM17,MTREX,POLR2D,NUP160,NUP62,HNRNPM,SNRNP25,U2AF2,WDR33,POLR2B,HNRNPC,HNRNPR,DHX9,CPSF4,SRSF12,SNRNP200,PTBP1,HNRNPU,SNW1,BUD13,SNRPB,RBM22,HNRNPL,WBP11,DDX39B,HNRNPA3,RAE1,SF3A2,RNF113A,HNRNPA1,POLR2F,SNRPA,NUP88,HNRNPA2B1,NUP93,PCF11,PPP1R8,PRPF40A,SNRNP40,LSM2,IK,SF3A3,PRPF19,CRNKL1,RBM10,NSRP1,SF3A1,BCAS2,FUS,CCAR1,NUP35,WTAP,PPIL2,FIP1L1,DDX41,SNRPD1,CWC27,BUD31,NCBP1,SNRPA1,PCBP1,NUP37,GTF2F1,EFTUD2,TPR,SMNDC1,PRPF3,NUP98,CHERP,DHX8,DDX39A,PHF5A,FAM32A,NXT1,ZNF830,CWF19L2,HNRNPK,PRPF38A,POLR2A,CSTF2,PPIL4,POLR2C,CACTIN,SRSF4,SF3B6,SNRPB2,ZMAT2,HTATSF1,NXF1,PRPF18,SEC13,SRSF7,SRSF3,PRCC,PQBP1,SRSF1,POLR2G,RBMX2,ALYREF,SNRPG,NUP50,MFAP1,RBM7,LSM7,YBX1,CWC22"
"WONG_EMBRYONIC_STEM_CELL_CORE",3.51122583689817e-07,0.00051437403498708,0.674962860011025,0.767523402296572,1.63212455631256,334,"GARS1,BUB1,ZNF22,KIF20A,MCM7,CHEK2,TIMM44,NUSAP1,BUB1B,NIFK,CCNB2,MTHFD2,KIF4A,GTSE1,E2F3,SERPINH1,DLGAP5,HMGB2,ERP29,PABPC1,RACGAP1,NCAPH,ANP32E,BCAT1,NONO,PRMT1,CTSC,GSPT2,POLR3K,TEAD2,NOP2,LMNB1,ORC1,PIPOX,AURKB,ELOVL6,CDKN3,KIF11,EEF2,MAD2L1,EIF4A1,PA2G4,CHEK1,HELLS,DDX18,BIRC5,AURKA,POP7,CHAF1A,MRPL16,CDCA8,BUB3,SARS1,NCAPD2,DHX9,GLDC,SNX5,HSPA9,CDCA3,PDHA1,HADH,CKS2,KRAS,TCOF1,BLM,SSB,TGIF2,HNRNPL,NIPSNAP1,CTNNA1,PLK4,WBP11,CDC20,ALDH7A1,SMC4,HAUS1,TMEFF1,VBP1,RCC2,TOP2A,CDCA7,MRPS30,CKS1B,HNRNPA1,POLR2F,SNRPA,DEK,ERCC6L,CCNA2,ADH5,MYC,RPS3,CBX3,PPM1G,KIF23,SNRNP40,LSM2,RAD18,PLK1,CDC6,PRIM1,MCM4,CDCA5,EIF2S2,DBF4,TCF7L1,NLN,CYCS,NASP,CDC7,GEMIN2,TIMM8A,SNRPD1,SMC2,PRPS1,SNRPA1,CCNF,DAP3,MRTO4,TTK,SEPHS2,RUVBL2,POLE2,NDC80,EIF3A,COX5B,SPAG5,ETFA,CLPP,POLD1,FBL,VRK1,RPS12,HSPA14,G3BP1,KIF22,SDHD,PHF5A,NEK2,TERF1,HNRNPK,HNRNPAB,CKAP2,MRPL4,CDK1,NUDCD2,UQCRH,IARS1,PSMA7,RRM1,MCM5,APEX1,HSPE1,MCM2,PUS1"
"REACTOME_MRNA_SPLICING",4.02011750673763e-07,0.00051437403498708,0.674962860011025,0.830142376010654,1.75228579258574,211,"POLR2K,PLRG1,SNRPD3,UPF3B,PDCD7,RBMX,HNRNPF,RBM17,MTREX,POLR2D,HNRNPM,SNRNP25,U2AF2,POLR2B,HNRNPC,HNRNPR,DHX9,SRSF12,SNRNP200,PTBP1,HNRNPU,SNW1,BUD13,SNRPB,RBM22,HNRNPL,WBP11,DDX39B,HNRNPA3,SF3A2,RNF113A,HNRNPA1,POLR2F,SNRPA,HNRNPA2B1,PPP1R8,PRPF40A,SNRNP40,LSM2,IK,SF3A3,PRPF19,CRNKL1,RBM10,NSRP1,SF3A1,BCAS2,FUS,CCAR1,PPIL2,DDX41,SNRPD1,CWC27,BUD31,NCBP1,SNRPA1,PCBP1,GTF2F1,EFTUD2,SMNDC1,PRPF3,CHERP,DHX8,PHF5A,FAM32A,ZNF830,CWF19L2,HNRNPK,PRPF38A,POLR2A,PPIL4,POLR2C,CACTIN,SRSF4,SF3B6,SNRPB2,ZMAT2,HTATSF1,PRPF18,SRSF7,SRSF3,PRCC,PQBP1,SRSF1,POLR2G,RBMX2,ALYREF,SNRPG,MFAP1,RBM7,LSM7,YBX1,CWC22"
"REACTOME_TRANSLATION",5.56667706254728e-07,0.00056980506412234,0.659444398037935,0.76451034773668,1.62160505729234,294,"GARS1,EIF3M,MRPS5,RPL39L,CARS1,YARS1,RPL6,PABPC1,MTFMT,TARS1,SRP72,GSPT2,AARS2,EIF3J,MRPL1,EEF2,EIF4A1,WARS2,MRPS9,HARS2,AIMP2,MRPL16,SARS1,PPA1,MRPL35,MRPL2,MRPS18A,EPRS1,MRPS35,MRPL30,MRPL32,MRPL47,VARS2,MRPS30,MARS1,EIF5B,EIF2S1,RPS3,YARS2,NARS1,AARS1,LARS1,SRP19,RPL31,HARS1,MRPL9,VARS1,EIF2S2,SSR2,MRPS10,EIF3B,RPL26L1,PTCD3,DAP3,SRP14,RPL17,EIF3A,SRP68,RPS12,MRPL22,MRPL40,RPL10,RPL4,NARS2,WARS1,MRPL4,MRPL14,IARS1,TUFM,TSFM,MRPS16,MRPL23,MRPS26,MRPS18B,MT-RNR2,MRPL34,MRPL37,SEC61B,RPS14,FARSA,MRPS2,RPS15,MRPL50,DARS1,ETF1,EIF3L,MRPL19,EIF3D,EIF2B3,RPL13A,MRPS11,SRP9,MRPS12,MRPL48,EIF3F,SARS2,RPL3,RPL7A,RPL36AL,RPS11"
"MANALO_HYPOXIA_DN",1.18884819446873e-06,0.00101408750988182,0.643551836150722,0.784179496153436,1.68437856694939,290,"RGS4,NAT10,PCLAF,NUSAP1,RPL39L,OIP5,YARS1,RITA1,SNRPD3,PARPBP,PWP2,DKC1,WDR12,PRC1,LMNB2,PPAT,SACS,POLR3K,MCM6,ELK1,NUP160,MNS1,MCM10,ELOVL6,FBXO5,TIPIN,MAD2L1,PA2G4,MTHFD1,DDX18,TPX2,ZWILCH,POP7,CHAF1A,AIMP2,LRP8,PBK,PDSS1,HNRNPU,RSAD1,USP1,RANBP1,POLR1G,DNAJC9,NOP56,SLCO4A1,H2AX,GINS3,ORC6,GRWD1,BYSL,FXN,EIF2S1,ERCC6L,CIAO1,CCNA2,SHCBP1,GTPBP4,CEP83,RPP30,HJURP,DNA2,KIF23,GLRX2,CENPN,PAIP1,CDC6,MCM4,MPHOSPH9,FANCI,IPO4,VARS1,SLC25A15,DBF4,DHFR,UTP20,FUS,C1QBP,NASP,CDC7,GEMIN2,SNRPD1,RAD51,STIL,PRPS1,SNRPA1,CCNF,NVL,ASF1B,GCSH,TSR1,MRTO4,NOP16,RRS1,CAD,POLE2,UBE2S,UBIAD1,PSMC3IP,VRK1,NUP98,HEATR1,TOR3A,MRPL40,PRMT5,UCHL5,NARS2,CDK1,DDX21,IARS1,RRM1,MCM5,AASDHPPT,SPDL1,MELK,MCM2,NOLC1,ARMC6,PUS1,TSFM,NDUFAF4,SKP2,NOL11,ADISSP,TUBGCP4,AKAP1,CCNE1,ODC1,FEN1,GINS1,URB2,CSE1L,ACAT2,GMNN,NLE1,PFAS,RRM2,FAM136A,EIF2B3,HMBS,ILF3,DDX23,SLC1A5,MRPS12"
"TARTE_PLASMA_CELL_VS_PLASMABLAST_DN",1.52092966239885e-06,0.00111201685887962,0.643551836150722,0.737713847028647,1.58825241829513,307,"SGK1,ASNS,GLIPR1,GARS1,CAPRIN1,PCLAF,IQGAP2,MTHFD2,TFRC,YARS1,CDC123,DLGAP5,EED,HMGB2,SNRPD3,PAICS,UBE2L3,TARS1,LIMS1,COX6C,KIFC1,ELMO1,BLMH,TROAP,KIF2C,FOXM1,UFD1,LMNB1,ORC1,ANP32A,U2AF2,CDKN3,KIF11,CCNB1,MKI67,CCT6A,MAD2L1,OAT,MTHFD1,PDAP1,EWSR1,CENPA,CHAF1A,AIMP2,HNRNPC,GLDC,HSPA9,HPGD,CKS2,CENPE,PLK4,TMPO,CDC20,VBP1,YWHAH,PRPS2,TOP2A,MAPK1,HMMR,NAE1,CKS1B,BYSL,PSMA1,UBE2C,EIF2S1,CCNA2,BRD8,CBX3,CCT7,KIF23,CASP6,NARS1,ESPL1,CDC6,PRIM1,NKRF,ACVR1,TUBA1A,CDC25B,UCK2,ATP5PB,ANXA6,DHFR,CYCS,NASP,TOP2B,SDHB,SMC1A,RPA1,KIF2A,TXN,STIL,DBI,DNAJC7,VDAC1,LDHB,CCNF,MPHOSPH6,ACOT7,KIF14,TTK,UBE2S,EIF3A,HSD17B10,TOP1,PSMC3IP,KIF22,MSN,DDX39A,NEK2,SLA,KDM5A,FDFT1,WARS1,IPO5,EZH2,UQCRC2,CDK1,UQCRH,RRM1,HSPE1,IDH2,LILRB4,MRPL23,SNRPB2,CCT5,ZMAT2,SRSF3,RECQL,PSMD14,GPI,CCNE1,GINS1,PSMA3,CSE1L,SMARCA4,ETF1,TCP1,KPNA2,SNRPG,MRPL19,TAX1BP3,AHCY,YBX1,CCT4,RRM2"
"PUJANA_BRCA_CENTERED_NETWORK",5.31796086095796e-06,0.00340216546079786,0.610526878385931,0.877390983162824,1.86522959543633,118,"CHEK2,HMGB2,SSBP2,POLA1,PAICS,KIFC1,MCM6,LMNB1,MAD2L1,ZNF330,POLR2B,AURKA,CHAF1A,TCF3,BUB3,NCAPD2,CPSF4,BLM,SNRPB,TMPO,CDC20,DDX39B,SMC4,CSNK2A1,TOP2A,HMMR,NAE1,RAD54L,SNRPA,DEK,UBE2C,CCNA2,RAD21,DNA2,H2AZ2,SMC3,ESPL1,CNOT3,MCM4,RBBP4,ASF1A,FANCI,DHFR,NASP,CDC7,SMC1A,RPA1,SMC2,POLE,PRPS1,SNRPA1,SLC7A1,NFYB,CAD,NDC80,TOP1,DDX39A,EZH2,ZNHIT3,CDK1,RRM1,MCM5,MCM2,RBBP8,IDH3B,TTF2,SKP2,BRCA2,RECQL,GINS1,MED20,AATF,RAD1,MYBL2,KATNA1"
"REACTOME_KERATINIZATION",7.36136382787127e-06,0.00418616223011613,0.610526878385931,-0.926032482227517,-1.36698528966051,217,"KRT31,CASP14,KRT34,KLK5,KRT24,KRTAP1-1,KRT6C,KRT33B,KRT75,DSG4,DSG3,SPRR2G,LCE1F,KRT1,SPRR2D,KRT83,RPTN,LCE1E,KRT79,KRTAP2-3,KRTAP5-8,KRT6B,KRT86,KRT14,DSC3,KRT40,SPRR3,TGM1,KRT80,KRT6A,KRT23,SPRR1A,DSP,DSG1,KLK8,KRTAP5-7,DSC1,KRT77,KRT36,PRSS8,KRTAP3-1,SPRR1B"
"HSIAO_LIVER_SPECIFIC_GENES",1.17320748240327e-05,0.00600447589493991,0.593325476396405,-0.913845308520264,-1.34768115381357,249,"APOA2,LGALS4,ALB,FGB,TTR,APOC3,UGT2B4,AHSG,HP,FGA,SAA1,C4BPA,GJB1,ALDOB,CP,APOH,BAAT,HPN,FGG,C4BPB,NR0B2,SLC10A1,KNG1,APOA1,F2,PZP,F5,CPS1,SERPINC1,CRP,GSTA2,HGD,ADH4,HRG,CYP2A6,ORM1,FABP1,SAA4,SERPINA6,CYP2E1,ITIH1,CYP2C9,SERPINF2,TM4SF4,AKR1C4,TAT,ADH1B,CYP3A4,ITIH4,CXCR2,ADH6,APOB,SERPINA1,CYP3A7,UGT2B7,SLC2A2,RGN,CYP4F2,GPT,RBP4,HABP2,ABCC6,PON3,FMO5,CYP2J2,AGT,APCS"
"PUJANA_XPRSS_INT_NETWORK",2.49811520619462e-05,0.0116230487502764,0.575610261071129,0.836639587621261,1.81592841176735,168,"PCLAF,CHEK2,GTSE1,HMGB2,SSBP2,POLA1,PAICS,ANP32E,KIFC1,BLMH,MCM6,FOXM1,LMNB1,AURKB,MKI67,MAD2L1,ZNF330,POLR2B,AURKA,CENPA,CHAF1A,TCF3,BUB3,NCAPD2,CPSF4,USP1,BLM,SNRPB,PLK4,TMPO,DNAJC9,CDC20,DDX39B,SMC4,STMN1,CSNK2A1,TOP2A,KIF20B,HMMR,NAE1,RAD54L,SNRPA,DEK,UBE2C,CCNA2,ZNF131,RAD21,CBX3,DNA2,H2AZ2,SMC3,ESPL1,CNOT3,MCM4,RBBP4,ASF1A,MPHOSPH9,FANCI,SPC25,DHFR,CENPC,NASP,CDC7,SMC1A,CNTRL,RPA1,SMC2,POLE,PRPS1,SNRPA1,CCNF,SLC7A1,NFYB,CAD,NDC80,UBE2S,TOP1,DDX39A,EZH2,ZNHIT3,CDK1,RRM1,MCM5,MCM2,CTCF,RBBP8,IDH3B,TTF2,SKP2,HMGN4,BRCA2,SRSF3,RECQL,CEP57,ZNF43,GINS1,AATF,MYBL2,KATNA1,TMEM131L"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",3.22549830904153e-05,0.0137567502880621,0.557332238758646,0.847880351002934,1.86498168394485,140,"BUB1,KIF20A,PCLAF,NUSAP1,BUB1B,DNMT3B,CCNB2,KIF4A,OIP5,GTSE1,DLGAP5,HMGB2,RACGAP1,PRC1,NCAPH,ANP32E,NETO2,KIFC1,KIF18B,KIF2C,FOXM1,LMNB1,MCM10,AURKB,KIF11,CCNB1,TPGS2,FBXO5,MKI67,MAD2L1,KIF15,CHEK1,HELLS,BIRC5,TPX2,AURKA,CENPA,CDCA8,LRP8,H2AZ1,GINS4,PBK,CDCA3,CKS2,CENPE,TMPO,CDC20,SMC4,H2AX,BID,TOP2A,KIF20B,ASPM,HMMR,UBE2C,ERCC6L,CCNA2,CDKN2A,CENPF,SHCBP1,HJURP,DNA2,KIF23,CA2,PLK1,ESPL1,CDC6,MCM4,APOBEC3B,FANCI,SLC25A15,DBF4,PTTG1,DHFR,CEP55,NCAPG,SMC2,STIL,CCNF,ASF1B,KIF14,TTK,NDC80,UBE2S,SPAG5,NEK2,EZH2,CDK1,SPDL1,MELK,MCM2"
