"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"RICKMAN_METASTASIS_UP",4.99748096894506e-05,0.0189634595413251,0.557332238758646,0.682856910415396,1.45665590405576,346,"BOC,MGP,SEC14L4,RASSF8,DDIT3,NAT10,CKAP5,DDR2,CAND2,CADM1,APBA2,HSD17B11,CHST10,LRP6,ETV4,VHL,UPF3B,PGRMC1,WDR12,NUDT9,LMAN2L,ITGA9,CENPBD1P,MRPL1,SALL4,RNF32-DT,FAM13B,EPC2,HEBP1,AHI1,USP13,GCAT,CDCA3,RBM15,BEND7,MRPS35,PXDN,VBP1,TMX4,ADAMTS9,PRKD1,EDAR,SALL2,GEM,LMTK2,ZBTB33,HJURP,ATAD2B,APOLD1,MPDZ,YARS2,C18orf21,ABI2,MECP2,HNRNPUL2,WDCP,FIP1L1,SLC16A10,ABCD4,ARMCX3,ZNF397,SEPHS2,YTHDC1,MGA,SLC25A33,ALDH6A1,ISCA2,LINC02893,SNED1,ACACB,PPM1D,GATC,CCNB1IP1,DHX8,ZNF92,GXYLT2,PRR3,APPBP2,CSTPP1,CTCF,ATRX,RASL12,FAM234B,RBBP6,TCEAL4,SUPT7L,DTX4,NDUFAF7,LAMA2,C2CD5,SMIM10L1,AKAP1,ZSCAN26,BORCS5,PFKM,TIGD7,SCFD2,ZNF24,TAF9B"
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN",5.18734727586071e-05,0.0189634595413251,0.557332238758646,-0.888620216137613,-1.31505092475435,351,"PIGR,MUC16,MUC4,SERPINB4,PDZK1IP1,SCGB2A1,HYDIN,SAA1,TFF3,CHST9,MS4A8,LCN2,SERPINB7,STOML3,MUC13,SPAG6,VNN3P,PROM1,SCGB1A1,FAM81B,CFAP45,CAPN9,SERPINB3,CCDC190,ATP12A,MS4A1,ERICH3,EML6,BNIPL,CLIC3,KRT14,SLPI,CFAP299,AK7,ANKRD35,DNER,TEKT2,MDH1B,LTF,UBXN10,FCRLA,S100A9,OMG,DRC3,TUBA4B,EVA1C,ST6GALNAC1,VTCN1,CXCL1,SPA17,ODAD1,CLDN10,CFAP47,ADSS1,SMIM5,MORN5,DNAH5,CSTB,VWA5A,DNAI7,TMEM40,C11orf52,FMO5,WFDC2,TSPAN1,KLF8,ODAD2,EFHC1,BACE2,IQCG,RSPH1,RRAD,ABHD14B,SLC22A4,TPPP,NEK11,C7orf57,LRG1,CHD9NB,MFSD4A,PCP4L1,SAXO2,LRRC34,OSCP1,TMC5,EPPK1,DYNLRB2,ALOX15,ADH1C,DRC1,CFB,CXXC5,GSTA1,CDH26,LRP11,PIH1D2,TCL1A,FAM216B,CD19,LRRIQ3,TCEA3,BCO2,P4HTM"
"WP_MRNA_PROCESSING",6.11723693939735e-05,0.0208720124372237,0.538434096309916,0.852626066467531,1.84335720172542,125,"CSTF3,SNRPD3,CELF4,SFPQ,RBMX,NONO,PRMT1,RBM17,HNRNPM,U2AF2,HNRNPC,HNRNPR,DHX9,CPSF4,PTBP1,HNRNPU,CELF1,SNRPB,HNRNPL,SF3A2,HNRNPA1,SNRPA,HNRNPA2B1,DDX20,PPM1G,PRPF40A,SNRNP40,LSM2,DDX1,SF3A3,SF3A1,FUS,SNRPD1,SMC1A,NCBP1,SNRPA1,EFTUD2,PRPF3,DHX8,PHF5A,HNRNPK,POLR2A,HNRNPAB,CSTF2,SRSF4,SNRPB2,NXF1,PRPF18,SRSF7,SRSF3,SRSF1,XRN2,SNRPG,LSM7,YBX1"
"LI_AMPLIFIED_IN_LUNG_CANCER",8.99408366230314e-05,0.027973101858644,0.538434096309916,-0.915581617517888,-1.35152760364645,183,"MSLN,AKR1B10,CEACAM6,FGB,CLDN9,TFF3,LCN2,HPN,FGG,KRT6C,CEACAM5,GIPR,TFF1,DSP,LTF,ASCL1,SPP1,ERBB2,CSTB"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",9.29157349740031e-05,0.027973101858644,0.538434096309916,-0.931812524752551,-1.36535782852375,132,"ALB,IGF2,FGB,AHSG,FGA,APOH,FGG,KNG1,APOA1,F5,EGF,HRG,ORM1,CD36,ORM2,SERPINF2,ITIH4,SERPINA1"
"HOLLERN_SQUAMOUS_BREAST_TUMOR",0.00010535231965577,0.0295730316810408,0.538434096309916,-0.924696702925837,-1.36623360950665,173,"KRT31,PSORS1C2,IL36RN,SERPINB11,CASP14,KRT34,SERPINB2,CRCT1,FGFBP1,KRT6C,CALML5,S100A14,KRT75,DEFB1,PADI1,ATG9B,LCE1F,KRT1,KRT83,RPTN,CYSRT1,KRT79,KLK7,IRX4,LY6G6C,KRTDAP,SLCO5A1,ATP12A,ADH7,SLC46A2,KRT86,KRT14,TGM1,KLK6,KRT80,KRT6A,MMP7,SPRR1A,S100A3,DSC1,KRT36,SP6,KRTAP3-1,SLC23A3,WNT6"
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",0.000109786557627936,0.0295730316810408,0.538434096309916,0.675186108533175,1.46351516456202,351,"THSD7A,SGK1,ETV1,LRRC17,RGS4,NREP,GLIPR1,TNFSF4,LAMA4,ROR1,TGFBI,MAP4K4,TDO2,C1orf54,HSD17B11,SERPINH1,TWIST1,LAMC1,MEIS2,APOE,ISLR,PRRX1,NBL1,SDC2,ENPEP,NRP1,DPY19L1,IL18,SPOCK1,ACSL4,TP53I3,POSTN,LDB2,C1QB,CPVL,RGCC,BGN,ASPN,FXYD5,COL4A2,LOXL1,JCAD,MFAP2,NID2,TMEM158,LHFPL6,SULF1,COL4A1,LOXL2,CCN4,CLEC7A,F2R,ADAM12,ZEB1,ESM1,TCF4,ROBO1,C1QA,LAMB1,TNS3,TMEFF1,COL10A1,LMCD1,NUAK1,SMAD7,MRC2,GEM,TLE4,LOX,COL5A2,SOBP,FZD2,ADORA3,PARVA,PLXNC1,PDE10A,MICAL2,RGS1,PLXDC1,MAFB,FERMT2,SPARCL1,DPYSL3,ECM2,BICC1,WWTR1,GPX7,PECAM1,SLAMF8,GFPT2,FOXN3,TUBB6,MMP11,MEF2C,PTEN,COL16A1,MS4A4A,SEPTIN6,FAP,CAVIN1"
"MORI_IMMATURE_B_LYMPHOCYTE_DN",0.000132756879379364,0.0339724854331793,0.518848077743792,0.867529499940442,1.73880850330459,91,"PCK2,CKAP5,MCM7,NUSAP1,CCNB2,MTHFD2,CDC45,DLGAP5,HMGB2,H2AC8,PRC1,NCAPH,ANP32E,ENPEP,TUBA1B,KIFC1,MCM6,TUBB,LMNB1,MCM10,CDKN3,CCNB1,MKI67,CBX1,CHEK1,CENPA,CDCA3,HMGB1,TMPO,CDC20,HNRNPA3,CENPL,SMC4,STMN1,H2AX,TOP2A,CDCA7,CKS1B,RAD54L,UBE2C,CCNA2,HJURP,HMGN2,H2AZ2,PRIM1,RBBP4,TUBA1A,CDCA5,UCK2,RAD51,SMC2,TXN,TTK,NDC80,NEK2,HNRNPAB,EZH2,CDK1,SMARCA5,RRM1,MELK,MCM2"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",0.000152740665377877,0.0359371014448755,0.518848077743792,0.831248213062008,1.85493727385233,154,"POLR2K,BUB1,KIF20A,NUSAP1,PIMREG,BUB1B,CCNB2,KIF4A,OIP5,GTSE1,CDC45,DLGAP5,SHMT2,XPOT,PARPBP,RACGAP1,PRC1,NCAPH,TUBA1B,KIFC1,KIF18B,TROAP,MCM6,KIF2C,FOXM1,LMNB1,MCM10,AURKB,CDKN3,KIF11,CCNB1,FBXO5,MKI67,MAD2L1,KIF15,CHEK1,BIRC5,TPX2,AURKA,CENPA,CDCA8,H2AZ1,PDSS1,CDCA3,CKS2,CENPE,BLM,TMPO,DNAJC9,CDC20,STMN1,TOP2A,ASPM,HMMR,DSCC1,BYSL,CDK2,MARS1,UBE2C,CCNA2,CENPF,GTPBP4,NUP93,HJURP,H2AZ2,CENPN,PLK1,ESPL1,MCM4,APOBEC3B,TUBA1A,CENPI,TUBA1C,PTTG1,CEP55,NCAPG,RAD51,TXN,STIL,RNASEH2A,KIF14,TTK,NDC80,UBE2S,CMC2,SPAG5,VRK1,DDX39A,NEK2,TXNRD1,EZH2,CDK1,PSMA7,MELK,MCM2"
"NAKAMURA_CANCER_MICROENVIRONMENT_DN",0.000154477575573908,0.0359371014448755,0.518848077743792,0.933140306541822,1.72011085635522,46,"PSPH,ASNS,PSAT1,BUB1,FAM83D,CDCA2,CCNB2,CARS1,TARS1,BCAT1,KIF2C,KNSTRN,PA2G4,CTH,AURKA,SLC7A11,CDC20,TNS3"
"DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP",0.000191046076535866,0.0392520654725274,0.518848077743792,0.753475749656773,1.50654276785657,228,"STC2,ALDH3A2,SGK1,SDK2,FKBP5,SLC47A1,ANKH,ASB13,NOS1AP,EGR3,DEPTOR,MBOAT1,MCM7,LDLRAD3,SYBU,WDR3,YARS1,CDC45,SEPTIN5,RERG,PHLDA1,TICRR,GREB1,DKC1,PAICS,POLR1B,MCM6,NOP2,MCM10,CNKSR3,RET,TMEM164,CHEK1,HELLS,TPBG,CHAF1A,LRP8,PTGES,MYB,NOP56,CHRNA5,CDCA7,GINS3,PLAAT3,DSCC1,MARS1,HSPD1,PDCD11,DDX10,WDR76,SMOX,PAX9,MYC,COL12A1,MICAL2,TFAP4,LYAR,CDC6,PRIM1,MOCOS,MCM4"
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP",0.000191382989544904,0.0392520654725274,0.518848077743792,0.696195376636823,1.48710844462531,304,"NPNT,QSER1,FKBP5,CAPRIN1,ANKRD46,VASH2,PCLAF,TMEM200A,NUSAP1,CLASP1,BUB1B,FZD7,TFRC,E2F3,DLGAP5,LAMC1,HMGB2,PARPBP,CXCL9,SOX4,PRRX1,RACGAP1,DOCK4,PRC1,RBMX,ZBED3,CTSC,KIF18B,DPY19L1,CEP135,KIF11,FMNL2,CCT6A,MAD2L1,POSTN,SGO2,KIF15,ESCO2,CHEK1,HELLS,COL4A2,ZNF267,PBK,FASTKD1,SULF1,ADAMTS2,COL4A1,ARNT2,KNL1,RAN,CENPE,COL8A1,DEPDC1B,ROBO1,TMPO,DNAJC9,LAMB1,SMC4,TOP2A,GNLY,CDCA7,ASAP1,APOC1,SOCS5,VANGL2,DSCC1,HNRNPA2B1,PRR11,HNRNPLL,COL5A2,NFE2L3,CCNA2,CENPF,ZNF131,ADH5,CBX3,PLA2G7,HDGFL3,DNA2,KIF23,SFXN1,FIGNL1,MCM4,IGSF6,MPHOSPH9,FANCI,DBF4,CEP55,GAD1,ANGPT2,CDC7,NCAPG,SMC1A,UHRF1,ADAM22,SPARC,PMS1,SCAI,ATP11C,CCNF,TTK,VCAN,DOCK7,NFYB,INHBA,POLE2,NDC80,EFNB2,FBN1,G3BP1,ZNF92,MASTL,TNFAIP6,IPO5,DPYSL2,EZH2,CDK1,RRM1,MELK,ZNF286A,RBBP8,CENPJ,TTF2,HAUS6,MBTD1,ZNF195,COL1A2,HAVCR2,CENPU,CALD1,PAPSS2,SRSF3"
"CHICAS_RB1_TARGETS_GROWING",0.000191735372569985,0.0392520654725274,0.518848077743792,0.744958246239456,1.52467728012924,242,"PSPH,PHGDH,LRRC17,RGS4,ASNS,CLDN11,PSAT1,NREP,PCK2,BUB1,ZNF22,KIF20A,TNFSF4,PCLAF,GAS2L3,MCM7,NUSAP1,BUB1B,CCNB2,DDIT4,KIF4A,GTSE1,SHMT2,PRICKLE1,MEIS2,LIN7A,LXN,ALDH1L2,ANP32E,NRP1,MCM6,FOXM1,RBMS3,CDKN3,CCNB1,POSTN,SGO2,LDB2,BNC2,HELLS,BGN,TPX2,CENPA,CDCA8,PCOLCE,SULF1,KCNK2,ADAMTS2,KNL1,USP1,MATN2,C1QTNF2,TMPO,DNAJC9,CDC20,SMC4,HAUS1,S1PR3,TOP2A,ASPM,CDCA7,CNTN3,EGR1,HMMR,DEK,RBP1,NFXL1,CCNA2,CDKN2A,CENPF,CASP6,FBXO11,SLC14A1,LSM2,SMC3,DPYSL3,FIGNL1,PRIM1,UBR7,SSRP1,MCM4,APOBEC3B"
"BURTON_ADIPOGENESIS_3",0.000224008599332881,0.0440952312071418,0.518848077743792,0.848003021851573,1.74920052415293,100,"BUB1,KIF20A,PCLAF,NQO1,MCM7,LRP5,NUSAP1,CCNB2,KIF4A,CDC45,DLGAP5,HMGB2,POLA1,LMO4,RACGAP1,PRC1,NCAPH,KIF2C,ILF2,MCM10,KIF11,CCNB1,MKI67,MAD2L1,HELLS,BIRC5,AURKA,CDCA8,CKS2,USP1,CDC20,TOP2A,CDCA7,CKS1B,PLK1,FIGNL1,CDC6,PRIM1,MCM4,TUBB6,NASP,CDC7,RAD51,SMC2,CCNF,ASF1B,TTK,VCAN,KIF22,INCENP,CSTF2,EZH2,CDK1,RRM1,MCM5,MCM2"
"MARKEY_RB1_ACUTE_LOF_UP",0.000256030429787029,0.0485319903574079,0.49849310876659,0.732799646509243,1.50572259491429,235,"DLX1,ID4,BUB1,KIF20A,PCLAF,NQO1,MCM7,NUSAP1,PIMREG,CCNB2,CRABP1,KIF4A,CDC45,DLGAP5,HMGB2,PPP5C,SFPQ,POLA1,RACGAP1,PRC1,PRRX2,RBMX,KIF2C,TUBB,PTGER4,CBX6,CDKN3,KIF11,CCNB1,TPGS2,TIPIN,MKI67,FAM13B,MAD2L1,CDC25C,BIRC5,AURKA,CENPA,HNRNPC,WAC,HNRNPR,H2AZ1,CDCA3,CKS2,RANBP1,PSPC1,SAE1,ANP32B,TMPO,DNAJC9,STMN1,H2AX,PRDX2,ORC6,CKS1B,CDK2,DEK,HSPD1,TRIM59,CCNA2,RAD21,HJURP,CD34,KIF23,MIS18BP1,HMGN2,H2AZ2,SMC3,PLK1,PRPF19,FIGNL1,CDC6,PRIM1,DCTPP1,MCM4,RBBP4,WWTR1,NASP,CEBPZ,TIMM8A,RAD51,SMC2,KIF2A,CCNF,ASF1B,SNHG5,HDAC2,VCAN,UBE2S,KIF22,BTBD1,NEK2,GCLC,CKAP2,IPO5,SNORA57,CDK1"
"REACTOME_NEUTROPHIL_DEGRANULATION",0.000271681638385619,0.0496595223306285,0.49849310876659,-0.863905134987073,-1.27545927604909,476,"PIGR,SIGLEC5,CEACAM6,TTR,AOC1,AHSG,HP,S100A7,LCN2,OLFM4,CD177,PRSS2,CALML5,CRISP3,KRT1,S100A8,FCGR3B,ORM1,SERPINB3,SELL,MGAM,ACP3,CLEC12A,CD36,ORM2,SIGLEC14,SLPI,DEFA1B,DSP,DSG1,CXCR2,FOLR3,LTF,GAA,ANPEP,SERPINA1,S100A9,HSPA6,DSC1,CXCL1,FLG2,SLCO4C1,SLC44A2,CFD,MMP9,CSTB,OLR1,AZU1,GHDC,PPBP,CHIT1,MME,ARSA,DNASE1L1,RETN,PRSS3,LRG1"
"REACTOME_ANTIMICROBIAL_PEPTIDES",0.000282637016647346,0.0498805603862454,0.49849310876659,-0.941880267402425,-1.37012984307335,98,"S100A7A,ITLN1,S100A7,LCN2,CHGA,PRSS2,DEFB1,RNASE7,S100A8,BPIFB2,BPIFA1,DEFA1B,LTF,S100A9"
